,,,,,Synonyms in Software Tools,,,,,https://rdrr.io/bioc/CAMERA/man/ruleSet-class.html,,,,,,
metabolomicsUtils name,in R?,Charge,Calculation,Definition,SIRIUS,MetFrag,mzMine,MassBank,enviPat,CAMERA,GNPS,Agilent,Waters,Bruker MetaboScape,Damont et al,Others
[M+3H]3+,y,3+,,,,,,,M+3H,[M+3H]3+,,,,[M+3H]3+,,
[M+2H+Na]3+,y,3+,,,,,,,M+2H+Na,,,,,[M+2H+Na]3+,,
[M+H+2Na]3+,y,3+,,,,,,,M+H+2Na,,,,,[M+H+2Na]3+,,
[M+3Na]3+,y,3+,,,,,,,M+3Na,,,,,[M+3Na]3+,,
[M+2H]2+,y,2+,,,,,,,M+2H,[M+2H]2+,,(M+2H)+2,,[M+2H]2+,,
[M+H+NH4]2+,y,2+,,,,,,,M+H+NH4,,,,,[M+H+NH4]2+,,
[M+H+K]2+,y,2+,,,,,,,M+H+K,,,,,[M+H+K]2+,,
[M+H+Na]2+,y,2+,,,,,,,M+H+Na,,,,,[M+H+Na]2+,,
[M+C2H3N+2H]2+,y,2+,,,,,,,M+ACN+2H,,,,,[M+C2H3N+2H]2+,,
[M+2Na]2+,y,2+,,,,,,,M+2Na,[M+2Na]2+,,,,[M+2Na]2+,,
[M+C4H6N2+2H]2+,y,2+,,,,,,,M+2ACN+2H,,,,,[M+C4H6N2+2H]2+,,[M+2ACN+2H]2+
[M+C6H9N3+2H]2+,y,2+,,,,,,,M+3ACN+2H,,,,,[M+C6H9N3+2H]2+,,[M+3ACN+2H]2+
[M]+,,1+,,,[M]+,[M]+,,[M]+,M+,,,,,[M]+,,
[M+H]+,y,1+,,,[M+H]+,[M+H]+,,[M+H]+,M+H,[M+H]+,,(M+H)+,(M+H)+,[M+H]+,,
[M+Li]+,y,1+,,,,,,,,,,,,[M+Li]+,,
[M+2Li-H]+,y,1+,,,,,,,,,,,,[M+2Li-H]+,,[M+2Li-H]+
[M+NH4]+,y,1+,,,[M+H3N+H]+,[M+NH4]+,,[(M+NH3)+H]+,M+NH4,,,(M+NH4)+,(M+NH4)+,[M+NH4]+,,
[M+H2O+H]+,y,1+,,,[M+H2O+H]+,,,,,,,,,[M+H2O+H]+,,
[M+Na]+,y,1+,,,[M+Na]+,[M+Na]+,,[M+Na]+,M+Na,[M+Na]+,,(M+Na)+,(M+Na)+,[M+Na]+,,
[M+CH4O+H]+,y,1+,,,[M+CH4O+H]+,[M+CH3OH+H]+,,,M+CH3OH+H,,,,(M+MeOH+H)+,[M+CH4O+H]+,,[M+MeOH+H]+
[M+K]+,y,1+,,,[M+K]+,[M+K]+,,,M+K,[M+K]+,,(M+K)+,(M+K)+,[M+K]+,,
[M+C2H3N+H]+,y,1+,,,[M+C2H3N+H]+,[M+ACN+H]+,,,M+ACN+H,,,,(M+ACN+H)+,[M+C2H3N+H]+,,
[M+2Na-H]+,y,1+,,,[M-H+Na+Na]+,,,[M+2Na-H]+,M+2Na-H,[M+2Na-H]+,,,,[M+2Na-H]+,,[M+2Na-H]+
[M+2K-H]+,y,1+,,,[M-H+K+K]+,,,,M+2K-H,[M+2K-H]+,,,,[M+2K-H]+,,[M+2K-H]+
